issuer_cik,ticker,accession,filing_date,trans_date,owner_cik,role,shares,price,value
34088,XOM,0001127602-21-008874,2021-03-02,2021-03-01,0001393014,director,25000.0,57.16,1429000.0
804753,CERN,0001209191-21-016875,2021-03-03,2021-03-03,0001580700,officer,3639.0,68.56,249489.84
804753,CERN,0001209191-21-016875,2021-03-03,2021-03-02,0001580700,officer,3559.0,70.25,250019.75
804753,CERN,0001209191-21-016875,2021-03-03,2021-03-01,0001580700,officer,3563.0,70.19,250086.97
1130310,CNP,0001209191-21-017383,2021-03-03,2021-03-01,0001700508,director,50000.0,19.84,992000.0
1130310,CNP,0001209191-21-017373,2021-03-03,2021-03-01,0001698299,director,10000.0,19.8,198000.0
1437107,DISCA,0001437107-21-000049,2021-03-03,2021-03-02,0001694392,officer,40000.0,48.5,1940000.0
34088,XOM,0001214659-21-002691,2021-03-03,2021-03-02,0001159187,director,177000.0,56.26,9958020.0
313927,CHD,0001127602-21-009373,2021-03-04,2021-03-02,0001295990,director,5000.0,78.62,393100.0
715957,D,0001225208-21-004725,2021-03-04,2021-03-04,0001324902,director,2000.0,69.29,138580.0
715957,D,0001225208-21-004673,2021-03-04,2021-03-03,0001434957,officer,14401.93,69.44,1000070.02
1047862,ED,0001047862-21-000075,2021-03-04,2021-02-28,0001564677,director,423.12,65.65,27777.83
1047862,ED,0001047862-21-000074,2021-03-04,2021-02-28,0001836542,officer,1.69,65.65,110.95
1047862,ED,0001047862-21-000073,2021-03-04,2021-02-28,0001682978,officer,35.2,65.65,2310.88
1047862,ED,0001047862-21-000072,2021-03-04,2021-02-28,0001423302,officer,31.67,65.65,2079.14
