cik,ticker,sic,sic_description
1166691,CMCSA,4841,Cable & Other Pay Television Services
1437107,WBD,4841,Cable & Other Pay Television Services
1415404,ECHO,4899,"Communications Services, NEC"
4904,AEP,4911,Electric Services
1868275,CEG,4911,Electric Services
1130310,CNP,4911,Electric Services
715957,D,4911,Electric Services
936340,DTE,4911,Electric Services
827052,EIX,4911,Electric Services
72741,ES,4911,Electric Services
65984,ETR,4911,Electric Services
1031296,FE,4911,Electric Services
753308,NEE,4911,Electric Services
1013871,NRG,4911,Electric Services
764622,PNW,4911,Electric Services
922224,PPL,4911,Electric Services
92122,SO,4911,Electric Services
1692819,VST,4911,Electric Services
1506307,KMI,4922,Natural Gas Transmission
1389170,TRGP,4922,Natural Gas Transmission
107263,WMB,4922,Natural Gas Transmission
1039684,OKE,4923,Natural Gas Transmisison & Distribution
731802,ATO,4924,Natural Gas Distribution
1002910,AEE,4931,Electric & Other Services Combined
811156,CMS,4931,Electric & Other Services Combined
827099,CPWR,4931,Electric & Other Services Combined
1326160,DUK,4931,Electric & Other Services Combined
1047862,ED,4931,Electric & Other Services Combined
1711269,EVRG,4931,Electric & Other Services Combined
1109357,EXC,4931,Electric & Other Services Combined
352541,LNT,4931,Electric & Other Services Combined
1111711,NI,4931,Electric & Other Services Combined
1004980,PCG,4931,Electric & Other Services Combined
788784,PEG,4931,Electric & Other Services Combined
783325,WEC,4931,Electric & Other Services Combined
72903,XEL,4931,Electric & Other Services Combined
1032208,SRE,4932,Gas & Other Services Combined
1410636,AWK,4941,Water Supply
1060391,RSG,4953,Refuse Systems
823768,WM,4953,Refuse Systems
874761,AES,4991,Cogeneration Services & Small Power Producers
277135,GWW,5000,Wholesale-Durable Goods
1065696,LKQ,5010,Wholesale-Motor Vehicles & Motor Vehicle Parts & Supplies
40987,GPC,5013,Wholesale-Motor Vehicle Supplies & New Parts
1000228,HSIC,5047,"Wholesale-Medical, Dental & Hospital Equipment & Supplies"
1385157,TEL,5065,"Wholesale-Electronic Parts & Equipment, NEC"
945841,POOL,5090,Wholesale-Misc Durable Goods
721371,CAH,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries"
1140859,COR,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries"
927653,MCK,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries"
1286681,DPZ,5140,Wholesale-Groceries & Related Products
96021,SYY,5140,Wholesale-Groceries & Related Products
2080921,APC,5172,Wholesale-Petroleum & Petroleum Products (No Bulk Stations)
815556,FAST,5200,"Retail-Building Materials, Hardware, Garden Supply"
89800,SHW,5200,"Retail-Building Materials, Hardware, Garden Supply"
916365,TSCO,5200,"Retail-Building Materials, Hardware, Garden Supply"
1316835,BLDR,5211,Retail-Lumber & Other Building Materials Dealers
354950,HD,5211,Retail-Lumber & Other Building Materials Dealers
60667,LOW,5211,Retail-Lumber & Other Building Materials Dealers
885639,KSS,5311,Retail-Department Stores
794367,M,5311,Retail-Department Stores
909832,COST,5331,Retail-Variety Stores
29534,DG,5331,Retail-Variety Stores
935703,DLTR,5331,Retail-Variety Stores
27419,TGT,5331,Retail-Variety Stores
104169,WMT,5331,Retail-Variety Stores
56873,KR,5411,Retail-Grocery Stores
350698,AN,5500,Retail-Auto Dealers & Gasoline Stations
726958,CASY,5500,Retail-Auto Dealers & Gasoline Stations
900075,CPRT,5500,Retail-Auto Dealers & Gasoline Stations
1690820,CVNA,5500,Retail-Auto Dealers & Gasoline Stations
1170010,KMX,5500,Retail-Auto Dealers & Gasoline Stations
1158449,AAP,5531,Retail-Auto & Home Supply Stores
866787,AZO,5531,Retail-Auto & Home Supply Stores
898173,ORLY,5531,Retail-Auto & Home Supply Stores
1018840,ANF,5651,Retail-Family Clothing Stores
745732,ROST,5651,Retail-Family Clothing Stores
109198,TJX,5651,Retail-Family Clothing Stores
912615,URBN,5651,Retail-Family Clothing Stores
